카테고리,지점명,VVIP,VIP,GOLD,일반
편의점,GS25,10%,10%,10%,5%
편의점,emart24,10%,10%,10%,5%
편의점,CU,NULL,20%,NULL,20%
카페&베이커리,파리바게뜨,10%,10%,10%,5%
카페&베이커리,스타벅스,100%,100%,100%,100%
카페&베이커리,뚜레쥬르,15%,15%,15%,10%
카페&베이커리,베스킨라빈스,30%,30%,NULL,30%
카페&베이커리,던킨,100%,100%,NULL,NULL
카페&베이커리,파리크라상,NULL,10%,10%,5%
카페&베이커리,브레댄코,NULL,10%,NULL,10%
카페&베이커리,63베이커리,NULL,10%,NULL,10%
카페&베이커리,달콤,NULL,100%,NULL,100%
카페&베이커리,비트커피,NULL,50%,NULL,50%
카페&베이커리,카페베네,NULL,10%,NULL,10%
카페&베이커리,퀴즈노스,NULL,10%,NULL,10%
카페&베이커리,할리스,100%,NULL,NULL,NULL
식사,도미노피자,90%,20%,15%,15%
식사,아웃백,15%,15%,15%,5%
식사,피자알볼로,NULL,15%,NULL,15%
식사,미스터피자,NULL,20%,15%,15%
식사,피자헛,NULL,15%,15%,15%
식사,파파존스,NULL,30%,15%,15%
식사,VIPS,15%,15%,5%,5%